time,window,field,value
1790114238.190,empty,0x0c,00
1790114243.712,empty,0x0c,00
1790114249.230,empty,0x0c,00
1790114260.271,empty,0x0c,00
1790114265.790,empty,0x0c,00
1790114271.372,empty,0x0c,00
1790114282.475,empty,0x0c,00
1790114288.110,empty,0x0c,00
1790114293.631,empty,0x0c,00
1790114299.152,empty,0x0c,00
1790114307.195,empty,0x0c,00
1790114312.831,empty,0x0c,00
1790114318.351,empty,0x0c,00
1790114323.871,empty,0x0c,00
1790114329.392,empty,0x0c,00
1790114357.292,empty,0x0c,00
1790114362.993,empty,0x0c,00
1790114368.513,empty,0x0c,00
1790114374.033,empty,0x0c,00
1790114385.136,empty,0x0c,00
1790114401.455,empty,0x0c,00
1790114407.154,empty,0x0c,00
1790114412.674,empty,0x0c,00
1790114435.057,empty,0x0c,00
1790114440.576,empty,0x0c,00
1790114446.095,empty,0x0c,00
1790114451.795,empty,0x0c,00
1790114457.315,empty,0x0c,00
1790114462.897,empty,0x0c,00
1790114468.597,empty,0x0c,00
1790114476.755,empty,0x0c,00
1790114498.836,empty,0x0c,00
1790114504.356,empty,0x0c,00
1790114509.876,empty,0x0c,00
1790114521.038,empty,0x0c,00
1790114526.739,empty,0x0c,00
1790114532.259,empty,0x0c,00
1790114543.780,present,0x0c,00
1790114554.818,present,0x0c,00
1790114560.518,present,0x0c,00
1790114577.024,release,0x0c,01
1790114588.246,release,0x0c,01
1790114593.940,release,0x0c,01
1790114605.159,release,0x0c,01
1790114621.720,release,0x0c,01
1790114627.241,release,0x0c,01
1790114644.164,release,0x0c,01
1790114661.082,release,0x0c,01
1790114666.661,release,0x0c,01
1790114672.183,release,0x0c,01
1790114689.045,release,0x0c,01
1790114694.744,release,0x0c,01
1790114700.266,release,0x0c,01
1790114711.723,release,0x0c,01
1790114728.522,release,0x0c,01
1790114734.104,release,0x0c,01
1790114739.625,release,0x0c,01
1790114750.666,release,0x0c,01
1790114756.184,release,0x0c,01
1790114761.705,release,0x0c,01
1790114778.205,release,0x0c,01
1790114783.784,release,0x0c,01
1790114789.304,release,0x0c,01
1790114794.827,release,0x0c,01
1790114800.525,release,0x0c,01
1790114811.804,release,0x0c,01
1790114828.426,release,0x0c,01
1790114834.125,release,0x0c,01
1790114839.645,release,0x0c,01
1790114845.227,release,0x0c,01
1790114853.388,release,0x0c,01
1790114859.147,release,0x0c,00
1790114875.887,release,0x0c,00
1790114881.406,release,0x0c,00
1790114886.989,release,0x0c,00
1790114892.568,release,0x0c,00
1790114898.207,release,0x0c,00
1790114915.069,release,0x0c,00
1790114920.768,release,0x0c,00
1790114926.473,between,0x0c,00
1790114387.713,empty,0x13,070000
1790114395.874,empty,0x13,080000
1790114471.236,empty,0x13,080000
1790114563.041,present,0x13,050000
1790114674.823,release,0x13,070000
1790114683.285,release,0x13,070000
1790114764.227,release,0x13,070000
1790114772.506,release,0x13,060000
1790114847.868,release,0x13,090000
1790114929.168,between,0x13,080000
